"presenca" "lat" "lon" "class" "especie" "area" "Incidencia" "Total_erradicadas" "total_plantas"
"1071" "Present" -21.78675 -45.4073 "Mini" "Mandarins" 2 3.32 39 1174
"1072" "Absent" -21.7867 -45.4072 "Mini" "Mandarins" 2 0 0 1150
"1073" "Present" -21.78509 -45.4071 "Small" "Mandarins" 23 8.01 101 1261
"1074" "Present" -20.18633 -45.40611 "Mini" "Mandarins" 2.6 2.36 35 1480
"1075" "Present" -21.80984 -45.4057 "Small" "Mandarins" 18 2.35 229 9726
"1076" "Present" -21.94531 -45.4033 "Mini" "Mandarins" 3.42 0.79 15 1900
"1077" "Present" -21.79141 -45.4031 "Mini" "Mandarins" 4.5 20.44 601 2941
"1078" "Present" -21.81743 -45.4025 "Small" "Mandarins" 18 7.41 801 10807
"1079" "Present" -21.88281 -45.4009 "Mini" "Mandarins" 3.6 4.15 84 2024
"1080" "Present" -20.11961 -45.40083 "Mini" "Mandarins" 3.96 0.14 3 2200
"1081" "Present" -21.8768 -45.3998 "Mini" "Mandarins" 5.5 100 4140 4140
"1082" "Present" -21.93328 -45.3989 "Mini" "Mandarins" 5.4 1.23 37 3012
"1083" "Absent" -21.8197 -45.3972 "Mini" "Mandarins" 10 0 0 4800
"1084" "Present" -21.79461 -45.3959 "Mini" "Mandarins" 7 3.92 162 4137
"1085" "Present" -21.78456 -45.3959 "Small" "Mandarins" 12 5.8 400 6902
"1086" "Present" -20.07516 -45.395 "Mini" "Mandarins" 6.5 3.33 120 3600
"1087" "Absent" -21.81959 -45.3924 "Mini" "Mandarins" 1 0 0 250
"1088" "Present" -21.79839 -45.3923 "Mini" "Mandarins" 7 4.78 174 3641
"1089" "Present" -21.80908 -45.3923 "Small" "Mandarins" 34.2 2.38 463 19450
"1090" "Present" -21.80306 -45.3906 "Mini" "Mandarins" 6 10.19 311 3051
"1091" "Present" -21.7963 -45.3901 "Mini" "Mandarins" 1.5 19.59 144 735
"1092" "Present" -21.8255 -45.3894 "Mini" "Mandarins" 2 13.04 150 1150
"1093" "Present" -20.1745 -45.38917 "Mini" "Mandarins" 3 1.88 30 1600
"1094" "Present" -21.87483 -45.3889 "Small" "Mandarins" 12 5.68 411 7231
"1095" "Absent" -21.7381 -45.3883 "Mini" "Mandarins" 1.2 0 0 600
"1096" "Present" -21.75997 -45.3865 "Mini" "Mandarins" 4.8 34.54 7048 20405
"1097" "Absent" -21.8547 -45.3861 "Mini" "Mandarins" 9.8 0 0 4700
"1098" "Present" -20.14719 -45.385 "Mini" "Mandarins" 3 6 90 1500
"1099" "Absent" -21.8528 -45.385 "Mini" "Mandarins" 3 0 0 1500
"1100" "Present" -21.82911 -45.3847 "Medium" "Mandarins" 55 3.28 771 23511
"1101" "Present" -21.85281 -45.3835 "Mini" "Mandarins" 3 3.6 56 1556
"1102" "Present" -21.83008 -45.3831 "Mini" "Mandarins" 5 90.88 3817 4200
"1103" "Present" -21.85539 -45.3819 "Small" "Mandarins" 11.7 2.86 164 5727
"1104" "Present" -21.86172 -45.3808 "Mini" "Mandarins" 7.2 12.51 562 4493
"1105" "Present" -21.82066 -45.3803 "Mini" "Mandarins" 10 3.28 165 5035
"1106" "Present" -21.86352 -45.3798 "Mini" "Mandarins" 6 11.49 368 3204
"1107" "Present" -21.87741 -45.3783 "Small" "Mandarins" 16.8 3.22 298 9252
"1108" "Present" -21.85274 -45.3768 "Small" "Mandarins" 13 4.92 370 7515
"1109" "Present" -20.21069 -45.37472 "Mini" "Mandarins" 10 0.92 46 5000
"1110" "Present" -21.86097 -45.3747 "Mini" "Mandarins" 3.5 9 182 2022
"1111" "Present" -21.86195 -45.3745 "Small" "Mandarins" 33 2.92 50 1712
"1112" "Present" -21.78861 -45.3744 "Small" "Mandarins" 17.5 3.75 358 9552
"1113" "Absent" -21.8608 -45.3744 "Mini" "Mandarins" 3.5 0 0 1920
"1114" "Present" -21.82739 -45.3742 "Small" "Mandarins" 15 98.94 6061 6126
"1115" "Present" -21.84028 -45.3739 "Mini" "Mandarins" 7.5 10.44 400 3833
"1116" "Present" -21.74842 -45.3738 "Mini" "Mandarins" 1 0.79 4 504
"1117" "Present" -21.74842 -45.3738 "Mini" "Mandarins" 1 1.57 8 508
"1118" "Present" -21.71383 -45.3729 "Mini" "Mandarins" 0.2 22.58 35 155
"1119" "Present" -21.89673 -45.3715 "Mini" "Mandarins" 5 17.46 611 3500
"1120" "Present" -21.8967 -45.3714 "Mini" "Mandarins" 5 0.1 3 2900
"1121" "Present" -21.86013 -45.3709 "Small" "Mandarins" 19 6.75 737 10923
"1122" "Absent" -21.83775 -45.3705 "Mini" "Mandarins" 0.1 0 0 120
"1123" "Present" -21.71736 -45.3694 "Mini" "Sweet orange" 6 9.03 287 3177
"1124" "Absent" -20.31031 -45.36917 "Small" "Mandarins" 14 0 0 7380
"1125" "Present" -21.75335 -45.3687 "Mini" "Mandarins" 0.5 4.31 9 209
"1126" "Present" -20.24667 -45.36861 "Mini" "Mandarins" 0.5 50 100 200
"1127" "Present" -21.84681 -45.3683 "Mini" "Mandarins" 5.5 7.96 250 3140
"1128" "Present" -21.78458 -45.3679 "Mini" "Mandarins" 3.2 13.2 254 1924
"1129" "Present" -21.84358 -45.3674 "Mini" "Mandarins" 5.6 0.06 2 3102
"1130" "Present" -21.75144 -45.3673 "Mini" "Mandarins" 5.8 32.82 1280 3900
"1131" "Present" -21.79478 -45.3673 "Mini" "Mandarins" 9 4.94 202 4092
"1132" "Present" -21.72413 -45.3671 "Mini" "Mandarins" 2 8.06 85 1055
"1133" "Present" -21.7239 -45.3669 "Mini" "Mandarins" 2 1 10 1000
"1134" "Present" -21.75539 -45.3669 "Mini" "Mandarins" 7.7 4.31 204 4734
"1135" "Present" -21.8125 -45.3669 "Mini" "Mandarins" 1 19.35 120 620
"1136" "Present" -21.73441 -45.3655 "Small" "Mandarins" 22 0.75 109 14525
"1137" "Present" -21.84111 -45.3653 "Mini" "Mandarins" 2 4 49 1224
"1138" "Present" -21.87716 -45.365 "Small" "Sweet orange" 25.81 6.39 904 14157
"1139" "Present" -21.76094 -45.3647 "Mini" "Mandarins" 7 31.58 1569 4969
"1140" "Present" -21.91386 -45.3647 "Medium" "Sweet orange" 56 1.97 604 30722
"1141" "Present" -21.79194 -45.3646 "Small" "Mandarins" 13.2 6.36 383 6025
"1142" "Present" -20.14842 -45.36444 "Small" "Mandarins" 12.2 0.08 6 7780
"1143" "Present" -21.93198 -45.3644 "Small" "Mandarins" 19 2.03 226 11120
"1144" "Present" -21.80071 -45.3643 "Mini" "Mandarins" 10 1.39 126 9047
"1145" "Present" -21.76706 -45.3642 "Mini" "Mandarins" 10 2.38 92 3862
"1146" "Absent" -21.7547 -45.3639 "Mini" "Mandarins" 1.2 0 0 700
"1147" "Present" -21.75281 -45.3639 "Mini" "Mandarins" 4 12.76 281 2202
"1148" "Present" -21.74475 -45.3638 "Small" "Mandarins" 20 2.41 210 8710
"1149" "Present" -21.79601 -45.3636 "Small" "Mandarins" 16.2 2.27 184 8115
"1150" "Present" -20.14489 -45.36306 "Small" "Mandarins" 23 2.04 326 16000
"1151" "Absent" -21.7328 -45.3628 "Mini" "Mandarins" 4 0 0 2500
"1152" "Present" -21.74709 -45.3627 "Mini" "Mandarins" 1 1.96 10 510
"1153" "Present" -21.79044 -45.3623 "Small" "Mandarins" 16 12.84 1287 10026
"1154" "Present" -21.75803 -45.3619 "Mini" "Mandarins" 1 14.96 92 615
"1155" "Present" -21.73227 -45.36143 "Mini" "Mandarins" 6 17.2 596 3466
"1156" "Present" -20.086 -45.36139 "Medium" "Mandarins" 55 0.31 86 28000
"1157" "Present" -21.7516 -45.3613 "Mini" "Mandarins" 7 55.08 3065 5565
"1158" "Present" -21.75986 -45.3611 "Small" "Mandarins" 17.5 6.78 462 6816
"1159" "Present" -21.858 -45.3603 "Mini" "Mandarins" 0.5 35.4 103 291
"1160" "Present" -21.858 -45.3603 "Mini" "Mandarins" 0.5 15.36 43 280
"1161" "Present" -21.75033 -45.3599 "Mini" "Mandarins" 4 0.6 15 2500
"1162" "Present" -21.75033 -45.3599 "Mini" "Mandarins" 2.5 5.26 119 2264
"1163" "Absent" -20.14183 -45.35972 "Mini" "Mandarins" 0.4 0 0 200
"1164" "Present" -21.87235 -45.3584 "Mini" "Mandarins" 3 2.62 35 1335
"1165" "Absent" -21.8722 -45.3583 "Mini" "Mandarins" 3 0 0 1300
"1166" "Present" -21.01267 -45.3581 "Mini" "Mandarins" 4 2.96 64 2164
"1167" "Present" -21.82644 -45.3579 "Small" "Mandarins" 17 0.97 92 9479
"1168" "Present" -21.75292 -45.3565 "Mini" "Mandarins" 6 5.54 174 3142
"1169" "Present" -20.24708 -45.35639 "Mini" "Mandarins" 6 2.73 82 3000
"1170" "Present" -20.25808 -45.35528 "Mini" "Mandarins" 9.37 0.64 25 3900
"1171" "Present" -21.86411 -45.3549 "Mini" "Mandarins" 6 3.91 120 3070
"1172" "Absent" -21.7675 -45.3542 "Mini" "Mandarins" 2.7 0 0 1500
"1173" "Present" -20.24383 -45.3525 "Mini" "Mandarins" 4 2.5 50 2000
"1174" "Present" -21.75619 -45.3525 "Mini" "Mandarins" 2 5.62 119 2119
"1175" "Present" -21.7325 -45.352 "Mini" "Mandarins" 7 4.76 192 4034
"1176" "Present" -21.72789 -45.3453 "Mini" "Mandarins" 2 48.28 560 1160
"1177" "Present" -21.76544 -45.342 "Medium" "Sweet orange" 65 31.96 15839 49553
"1178" "Present" -21.766 -45.3333 "Mini" "Mandarins" 2.2 10.61 128 1206
"1179" "Present" -21.91198 -45.3317 "Medium" "Mandarins" 60 1.19 384 32299
"1180" "Present" -20.37528 -44.1822 "Mini" "Mandarins" 2 25 75 300
"1181" "Absent" -19.8239 -50.384 "Medium" "Acid lime" 140 0 0 85500
"1182" "Absent" -19.81258 -50.3843 "Medium" "Acid lime" 69.9 0 0 46599
"1183" "Present" -21.88356 -45.47447 "Small" "Mandarins" 25 7.56 1123 14853
"1184" "Present" -21.81756 -45.3759 "Mini" "Mandarins" 5.7 5.59 185 3308
"1185" "Present" -20.09369 -45.36472 "Medium" "Acid lime" 71.61 0.07 27 40977
"1186" "Present" -21.8439 -45.3613 "Mini" "Mandarins" 1.5 12.26 96 783
"1187" "Present" -21.85372 -45.3592 "Mini" "Mandarins" 5 1.5 32 2132
"1188" "Present" -21.85372 -45.3592 "Mini" "Mandarins" 2.2 33.57 469 1397
"1189" "Present" -21.84403 -45.3568 "Mini" "Mandarins" 1.5 12.23 92 752
"1190" "Present" -21.85972 -45.3555 "Mini" "Mandarins" 1 90.65 1813 2000
"1191" "Present" -21.84469 -45.3552 "Mini" "Mandarins" 1.5 17.9 182 1017
"1192" "Present" -20.15533 -45.355 "Mini" "Mandarins" 1.5 5.89 108 1835
"1193" "Present" -21.86106 -45.3543 "Mini" "Mandarins" 9 3.49 155 4435
"1194" "Present" -21.84403 -45.3525 "Mini" "Mandarins" 1 23.14 140 605
"1195" "Present" -21.86306 -45.35 "Small" "Mandarins" 13 10.61 761 7171
"1196" "Present" -21.83444 -45.3492 "Mini" "Mandarins" 4 45.08 985 2185
"1197" "Present" -21.85491 -45.3489 "Small" "Sweet orange" 12.6 1.28 90 7047
"1198" "Present" -21.91736 -45.3478 "Mini" "Mandarins" 6.4 39.78 1277 3210
"1199" "Present" -21.86681 -45.3477 "Mini" "Mandarins" 0.63 19.35 60 310
"1200" "Present" -21.86625 -45.3467 "Mini" "Mandarins" 0.72 3.97 16 403
"1201" "Present" -21.87029 -45.3451 "Small" "Sweet orange" 22 11.71 1567 13387
"1202" "Present" -21.9164 -45.3447 "Small" "Mandarins" 17.84 5.38 406 7550
"1203" "Present" -21.87789 -45.3432 "Small" "Sweet orange" 27 2.2 302 13702
"1204" "Present" -21.89506 -45.3416 "Mini" "Mandarins" 3 3.17 80 2527
"1205" "Present" -21.89228 -45.3388 "Mini" "Mandarins" 4 3.57 80 2242
"1206" "Present" -21.84891 -45.3378 "Mini" "Mandarins" 8.5 7.56 354 4680
"1207" "Present" -21.88589 -45.3371 "Mini" "Mandarins" 9 1.15 58 5028
"1208" "Present" -21.84214 -45.3366 "Mini" "Mandarins" 0.5 5.91 43 728
"1209" "Present" -21.80706 -45.33179 "Mini" "Mandarins" 1.2 11.3 91 805
"1210" "Absent" -21.9119 -45.3317 "Medium" "Mandarins" 60 0 0 31995
"1211" "Present" -21.80889 -45.3297 "Medium" "Sweet orange" 66.98 11.05 4430 40078
"1212" "Present" -21.90833 -45.3269 "Mini" "Mandarins" 6 17.04 586 3439
"1213" "Present" -21.85579 -45.3263 "Mini" "Mandarins" 8.8 8.59 374 4354
"1214" "Present" -20.14422 -45.32611 "Mini" "Mandarins" 2 15.29 130 850
"1215" "Present" -21.8556 -45.3242 "Mini" "Mandarins" 8.8 6.9 290 4200
"1216" "Absent" -21.87807 -45.3217 "Mini" "Mandarins" 0.12 0 0 65
"1217" "Present" -21.87874 -45.3214 "Mini" "Mandarins" 0.5 2.6 8 308
"1218" "Present" -21.87295 -45.321 "Mini" "Mandarins" 1 24.89 116 466
"1219" "Present" -21.87295 -45.321 "Mini" "Mandarins" 0.5 1.96 6 306
"1220" "Absent" -21.87903 -45.3203 "Mini" "Mandarins" 1 0 0 350
"1221" "Absent" -20.12717 -45.31944 "Mini" "Mandarins" 2.52 0 0 1200
"1222" "Present" -21.88418 -45.3192 "Mini" "Mandarins" 1 5.37 19 354
"1223" "Absent" -21.87603 -45.3188 "Mini" "Mandarins" 1 0 0 500
"1224" "Present" -21.87714 -45.3188 "Mini" "Mandarins" 0.5 32.2 190 590
"1225" "Present" -21.80956 -45.3187 "Small" "Mandarins" 23 1.43 111 7756
"1226" "Present" -21.87576 -45.3184 "Mini" "Mandarins" 4 3.29 80 2430
"1227" "Absent" -21.83719 -45.3153 "Mini" "Mandarins" 4.5 0 0 2500
"1228" "Present" -21.83906 -45.315 "Mini" "Mandarins" 4 20.04 455 2271
"1229" "Present" -21.81689 -45.3121 "Mini" "Mandarins" 3 32.25 495 1535
"1230" "Present" -21.83715 -45.312 "Mini" "Mandarins" 3.2 8.16 160 1960
"1231" "Present" -21.88269 -45.312 "Mini" "Mandarins" 8 2.64 110 4160
"1232" "Present" -21.88636 -45.3103 "Mini" "Mandarins" 2.5 38.46 600 1560
"1233" "Present" -21.83943 -45.3086 "Mini" "Mandarins" 0.5 73.33 220 300
"1234" "Absent" -21.8851 -45.3082 "Mini" "Mandarins" 0.2 0 0 110
"1235" "Present" -21.8851 -45.3081 "Mini" "Mandarins" 1.2 3.21 18 560
"1236" "Present" -21.87875 -45.3079 "Mini" "Mandarins" 1 100 467 467
"1237" "Present" -21.83336 -45.3076 "Mini" "Mandarins" 4.3 68.48 1955 2855
"1238" "Absent" -21.8067 -45.3047 "Mini" "Mandarins" 3 0 0 1820
"1239" "Present" -21.83273 -45.3034 "Mini" "Mandarins" 3.9 100 3666 3666
"1240" "Present" -21.90297 -45.3024 "Mini" "Mandarins" 4 12.95 293 2263
"1241" "Absent" -21.89733 -45.3012 "Mini" "Mandarins" 1 0 0 1000
"1242" "Present" -21.80437 -45.293 "Medium" "Mandarins" 128.28 16.32 13852 84852
"1243" "Absent" -21.82619 -45.2915 "Mini" "Mandarins" 0.5 0 0 280
"1244" "Present" -21.89755 -45.2904 "Mini" "Mandarins" 8 6.37 260 4080
"1245" "Absent" -21.83661 -45.2849 "Mini" "Mandarins" 4 0 0 2000
"1246" "Present" -21.89764 -45.2841 "Mini" "Mandarins" 9.75 8.94 313 3500
"1247" "Present" -20.11 -45.28056 "Mini" "Mandarins" 1.44 0.17 2 1155
"1248" "Present" -21.88797 -45.2733 "Mini" "Mandarins" 1 62.67 376 600
"1249" "Present" -21.88592 -45.2717 "Mini" "Mandarins" 2 47.02 710 1510
"1250" "Present" -21.89167 -45.2647 "Mini" "Mandarins" 0.32 11.17 21 188
"1251" "Present" -21.88789 -45.2539 "Mini" "Mandarins" 1 62.35 318 510
"1252" "Present" -21.88715 -45.2536 "Mini" "Mandarins" 1 6.27 26 415
"1253" "Present" -21.88369 -45.2499 "Mini" "Mandarins" 0.5 10.47 31 296
"1254" "Present" -21.88778 -45.2468 "Mini" "Mandarins" 3.5 27.42 680 2480
"1255" "Present" -21.8935 -45.2434 "Mini" "Mandarins" 4.85 5.68 162 2850
"1256" "Present" -21.87153 -45.2414 "Small" "Mandarins" 10.5 1.95 123 6298
"1257" "Present" -21.90886 -45.2404 "Mini" "Mandarins" 2.7 5.94 73 1228
"1258" "Present" -21.90089 -45.2337 "Mini" "Sweet orange" 1.34 2.67 20 750
"1259" "Present" -21.8945 -45.2334 "Mini" "Mandarins" 1 1.96 8 408
"1260" "Present" -21.89397 -45.2329 "Mini" "Mandarins" 1 11.59 59 509
"1261" "Present" -21.89413 -45.2323 "Mini" "Mandarins" 1.5 18.27 38 208
"1262" "Present" -21.88928 -45.232 "Mini" "Mandarins" 0.5 5 15 300
"1263" "Present" -21.89233 -45.2303 "Mini" "Mandarins" 0.5 10.4 26 250
"1264" "Present" -21.89028 -45.2294 "Mini" "Mandarins" 0.4 13.21 70 530
"1265" "Present" -21.89061 -45.2283 "Mini" "Mandarins" 0.25 83.66 128 153
"1266" "Present" -21.89739 -45.2277 "Mini" "Mandarins" 2 6.5 66 1016
"1267" "Present" -21.89094 -45.2277 "Mini" "Mandarins" 1.2 9.21 56 608
"1268" "Present" -21.89011 -45.2267 "Mini" "Mandarins" 1 18.1 95 525
"1269" "Present" -21.88925 -45.226 "Mini" "Mandarins" 0.35 5.47 11 201
"1270" "Present" -21.88958 -45.2258 "Mini" "Mandarins" 2 1.82 20 1100
"1271" "Present" -21.89228 -45.2246 "Mini" "Mandarins" 2 4.86 50 1028
"1272" "Absent" -20.10772 -45.22444 "Mini" "Mandarins" 2 0 0 1010
"1273" "Present" -21.88953 -45.2238 "Mini" "Acid lime" 3.1 13.77 237 1721
"1274" "Present" -21.88967 -45.2218 "Mini" "Mandarins" 0.4 36.41 75 206
"1275" "Present" -21.88889 -45.2167 "Mini" "Mandarins" 0.6 3.45 5 145
"1276" "Present" -21.82861 -45.215 "Small" "Mandarins" 15 8.21 741 9028
"1277" "Present" -21.88525 -45.2082 "Mini" "Mandarins" 2 99.88 1621 1623
"1278" "Present" -21.88723 -45.2008 "Mini" "Mandarins" 5 5.05 133 2633
"1279" "Present" -21.88675 -45.1686 "Mini" "Mandarins" 0.5 42.23 212 502
"1280" "Present" -20.40681 -44.1145 "Mini" "Mandarins" 1.5 11.11 175 1575
"1281" "Absent" -19.79464 -48.6177 "Large" "Sweet orange" 352 0 0 105604
"1282" "Absent" -19.777 -48.9545 "Small" "Sweet orange" 35.5 0 0 13000
"1283" "Absent" -19.71725 -48.4885 "Small" "Sweet orange" 21 0 0 7700
"1284" "Present" -21.66139 -45.46611 "Mini" "Mandarins" 1 6.25 50 800
"1285" "Present" -21.66222 -45.46556 "Mini" "Mandarins" 1.68 9.52 100 1050
"1286" "Present" -21.66417 -45.46222 "Mini" "Mandarins" 1 0.8 4 500
"1287" "Present" -21.66306 -45.45361 "Mini" "Mandarins" 3 3.33 50 1500
"1288" "Absent" -20.5317 -44.1494 "Small" "Mandarins" 12 0 0 6000
"1289" "Present" -20.5453 -44.1444 "Small" "Mandarins" 20 0.02 2 10000
"1290" "Present" -20.5022 -44.0917 "Small" "Mandarins" 14 0.04 3 7000
"1291" "Absent" -20.5347 -44.0611 "Mini" "Mandarins" 3.44 0 0 1892
"1292" "Present" -20.5083 -44.0567 "Mini" "Mandarins" 1.34 3.39 25 737
"1293" "Absent" -20.5253 -44.0564 "Mini" "Mandarins" 2.5 0 0 1370
"1294" "Present" -20.5064 -44.0553 "Mini" "Mandarins" 7.6 0.37 15 4080
"1295" "Present" -20.5047 -44.0547 "Mini" "Mandarins" 3.1 1.06 18 1705
"1296" "Present" -20.5139 -44.0456 "Mini" "Mandarins" 2.02 27.03 300 1110
"1297" "Present" -20.5108 -44.0428 "Mini" "Mandarins" 3.25 0.22 4 1780
"1298" "Absent" -20.5225 -44.0397 "Mini" "Mandarins" 2.48 0 0 1350
"1299" "Absent" -20.5164 -44.0386 "Mini" "Mandarins" 2.25 0 0 1237
"1300" "Present" -20.50786 -44.0342 "Mini" "Mandarins" 10 4 200 5000
"1301" "Absent" -21.73389 -45.44694 "Mini" "Mandarins" 1.62 0 0 1040
"1302" "Absent" -19.65892 -49.3363 "Medium" "Sweet orange" 53.5 0 0 37000
"1303" "Absent" -19.60875 -49.3701 "Small" "Mandarins" 26.35 0 0 11270
"1304" "Present" -19.64667 -50.9381 "Mini" "Sweet orange" 5.72 0.03 1 2988
"1305" "Absent" -19.5972 -48.8314 "Large" "Sweet orange" 2225 0 41 1120633
"1306" "Present" -19.59403 -48.8442 "Large" "Sweet orange" 1777.2 0.06 581 910574
"1307" "Absent" -19.555 -49.183 "Medium" "Sweet orange" 94.92 0 0 38380
"1308" "Absent" -19.5283 -49.7103 "Small" "Sweet orange" 18.9 0 0 9000
"1309" "Absent" -19.5283 -49.7103 "Small" "Sweet orange" 36.8 0 0 17500
"1310" "Absent" -19.43944 -48.9581 "Large" "Sweet orange" 285.79 0 0 170459
"1311" "Absent" -19.4306 -48.97138 "Large" "Sweet orange" 285.79 0 0 170459
"1312" "Absent" -19.42681 -49.1637 "Large" "Sweet orange" 303 0 0 17000
"1313" "Absent" -19.41486 -49.0183 "Large" "Sweet orange" 657.81 0 0 425834
"1314" "Absent" -19.41472 -48.9524 "Medium" "Sweet orange" 64.71 0 0 43000
"1315" "Absent" -19.41222 -48.9692 "Small" "Sweet orange" 21.92 0 0 10400
"1316" "Absent" -19.41222 -48.9692 "Medium" "Sweet orange" 143.6 0 0 90000
"1317" "Absent" -19.41222 -48.9692 "Small" "Sweet orange" 21.82 0 0 10400
"1318" "Absent" -19.38664 -49.1694 "Large" "Sweet orange" 445.08 0 2 228522
"1319" "Present" -19.36278 -48.8204 "Mini" "Sweet orange" 3 0.02 224 1242735
"1320" "Absent" -19.36103 -49.1055 "Medium" "Sweet orange" 60 0 0 22700
"1321" "Absent" -19.36 -48.8331 "Large" "Sweet orange" 2955 0 36 1242798
"1322" "Absent" -19.30758 -48.9786 "Small" "Sweet orange" 20 0 0 9000
"1323" "Absent" -19.27017 -49.3486 "Large" "Sweet orange" 306.5 0 0 187960
"1324" "Absent" -19.2407 -49.04194 "Small" "Sweet orange" 41 0 0 19470
"1325" "Absent" -19.22233 -49.1019 "Medium" "Sweet orange" 133.7 0 0 55800
"1326" "Absent" -19.19239 -49.0973 "Medium" "Sweet orange" 122.5 0 0 57750
"1327" "Absent" -19.19239 -49.0973 "Small" "Sweet orange" 15 0 0 7050
"1328" "Absent" -19.15653 -49.6422 "Medium" "Sweet orange" 53 0 0 25000
"1329" "Absent" -19.14764 -49.1106 "Small" "Sweet orange" 23.7 0 0 15000
"1330" "Absent" -19.14189 -49.0003 "Small" "Sweet orange" 13.9 0 0 7500
"1331" "Absent" -19.10592 -49.0309 "Small" "Sweet orange" 12.5 0 0 5000
"1332" "Absent" -19.10469 -49.0331 "Small" "Sweet orange" 15.7 0 0 7400
"1333" "Absent" -19.05394 -49.0733 "Medium" "Sweet orange" 55.7 0 0 26500
"1334" "Absent" -19.56178 -49.872 "Small" "Sweet orange" 27 0 0 27000
"1335" "Present" -19.55994 -49.4044 "Small" "Sweet orange" 50 0.01 2 19400
"1336" "Absent" -19.54081 -49.7024 "Mini" "Sweet orange" 2.4 0 0 1000
"1337" "Absent" -19.533 -49.6969 "Medium" "Sweet orange" 160 0 0 82500
"1338" "Absent" -19.52728 -49.7066 "Medium" "Sweet orange" 162 0 0 79000
"1339" "Absent" -19.5272 -49.7064 "Medium" "Sweet orange" 162 0 0 79000
"1340" "Absent" -19.52706 -49.3934 "Medium" "Sweet orange" 87.12 0 0 35000
"1341" "Absent" -19.52439 -49.6685 "Small" "Sweet orange" 35.7 0 0 12200
"1342" "Absent" -19.51122 -49.3969 "Medium" "Sweet orange" 60 0 0 30000
"1343" "Absent" -19.50647 -49.5689 "Small" "Sweet orange" 24 0 0 8000
"1344" "Absent" -19.47369 -49.3969 "Small" "Sweet orange" 35 0 0 18000
"1345" "Absent" -19.43711 -49.3176 "Small" "Sweet orange" 23.5 0 0 13000
"1346" "Absent" -19.35192 -49.6287 "Small" "Sweet orange" 31.3 0 0 10860
"1347" "Absent" -19.24961 -49.4703 "Medium" "Sweet orange" 159.7 0 0 72230
"1348" "Absent" -19.2474 -49.47028 "Medium" "Sweet orange" 60 0 0 25600
"1349" "Absent" -19.5492 -50.7103 "Mini" "Mandarins" 9 0 0 6000
"1350" "Absent" -19.58944 -44.12111 "Mini" "Mandarins" 2 0 0 1000
"1351" "Absent" -20.3303 -44.0347 "Mini" "Mandarins" 6 0 0 3000
"1352" "Present" -20.35889 -44.0317 "Small" "Mandarins" 18 0.48 43 9003
"1353" "Absent" -20.3589 -44.0308 "Mini" "Mandarins" 7.2 0 0 3000
"1354" "Absent" -20.2825 -44.0281 "Mini" "Mandarins" 4 0 0 2000
"1355" "Absent" -19.62217 -44.02361 "Mini" "Mandarins" 2.1 0 0 1050
"1356" "Absent" -19.63483 -44.02333 "Mini" "Mandarins" 6 0 0 3000
"1357" "Absent" -19.62497 -44.01472 "Mini" "Mandarins" 3.2 0 0 1600
"1358" "Absent" -20.4458 -43.9983 "Mini" "Mandarins" 9.4 0 0 5260
"1359" "Absent" -19.65436 -43.98639 "Mini" "Mandarins" 5.17 0 0 3800
"1360" "Absent" -20.385 -43.9511 "Mini" "Mandarins" 2 0 0 1000
"1361" "Absent" -22.1828 -45.3628 "Mini" "Mandarins" 6.8 0 0 5000
"1362" "Present" -19.20569 -46.94528 "Mini" "Acid lime" 2.3 3.57 25 700
"1363" "Absent" -19.05592 -49.7526 "Medium" "Sweet orange" 73.5 0 0 35000
"1364" "Absent" -19.04072 -49.7285 "Medium" "Sweet orange" 95 0 0 35000
"1365" "Absent" -18.99339 -49.7143 "Small" "Sweet orange" 46 0 0 21800
"1366" "Absent" -18.9928 -49.81694 "Small" "Sweet orange" 25.2 0 0 12000
"1367" "Absent" -18.976 -49.8068 "Small" "Sweet orange" 46 0 0 22000
"1368" "Absent" -18.9758 -49.8067 "Small" "Sweet orange" 10.5 0 0 5000
"1369" "Absent" -20.06656 -45.31222 "Mini" "Mandarins" 1.71 0 0 1150
"1370" "Present" -21.95235 -45.3113 "Mini" "Mandarins" 6 2.2 56 2542
"1371" "Absent" -21.95235 -45.3113 "Mini" "Mandarins" 2.61 0 0 1750
"1372" "Present" -21.9647 -45.2997 "Mini" "Mandarins" 1.16 0.69 9 1300
"1373" "Present" -20.02872 -45.29444 "Mini" "Mandarins" 5.4 2.85 171 6000
"1374" "Present" -21.92303 -45.2858 "Mini" "Mandarins" 0.3 20 50 250
"1375" "Present" -21.92708 -45.2836 "Mini" "Mandarins" 0.13 50 75 150
"1376" "Absent" -19.03256 -47.91 "Mini" "Mandarins" 2 0 0 700
"1377" "Absent" -18.88 -48.05 "Mini" "Acid lime" 3 0 0 800
"1378" "Absent" -19.01203 -49.5134 "Small" "Sweet orange" 12 0 0 5600
"1379" "Absent" -18.9824 -49.56417 "Small" "Sweet orange" 31 0 0 15000
"1380" "Absent" -18.9781 -49.5444 "Medium" "Sweet orange" 80 0 0 38000
"1381" "Absent" -18.97808 -49.5444 "Medium" "Sweet orange" 94.5 0 0 45000
"1382" "Absent" -18.96853 -49.5319 "Medium" "Sweet orange" 52.5 0 0 25000
"1383" "Absent" -18.96722 -49.5685 "Medium" "Sweet orange" 90 0 0 31820
"1384" "Absent" -18.92917 -49.4851 "Mini" "Sweet orange" 6 0 0 2000
