"presenca" "lat" "lon" "class" "especie" "area" "Incidencia" "Total_erradicadas" "total_plantas"
"884" "Present" -19.47483 -48.1156 "Medium" "Sweet orange" 75 2.85 640 22460
"885" "Present" -19.47 -48.0375 "Medium" "Sweet orange" 99.44 8.91 3851 43226
"886" "Absent" -19.2864 -49.01889 "Mini" "Acid lime" 6 0 0 3700
"887" "Present" -21.8467 -45.5147 "Mini" "Mandarins" 1.5 0.1 1 1000
"888" "Absent" -21.8436 -45.5083 "Mini" "Mandarins" 0.5 0 0 400
"889" "Present" -21.8397 -45.5053 "Medium" "Mandarins" 78.3 1.1 384 34800
"890" "Absent" -21.8969 -45.495 "Small" "Mandarins" 13.6 0 0 7500
"891" "Present" -19.90114 -48.2664 "Medium" "Sweet orange" 133.8 2.35 1783 75863
"892" "Present" -19.84883 -48.1947 "Medium" "Sweet orange" 52.3 10.92 2335 21390
"893" "Present" -19.847 -48.196 "Mini" "Sweet orange" 3 0.73 7 957
"894" "Present" -19.84558 -48.2061 "Mini" "Sweet orange" 5.5 17.18 222 1292
"895" "Absent" -19.84361 -48.1947 "Small" "Sweet orange" 28.3 0 0 10000
"896" "Present" -19.84203 -48.3758 "Small" "Sweet orange" 25.86 1.27 127 9965
"897" "Absent" -19.80728 -48.3043 "Small" "Mandarins" 19 0 0 5400
"898" "Present" -21.87058 -45.4984 "Small" "Mandarins" 17.2 13.95 1292 9264
"899" "Present" -21.8775 -45.4967 "Mini" "Mandarins" 8 21.89 1121 5121
"900" "Present" -21.8408 -45.4961 "Mini" "Mandarins" 9 0.23 13 5700
"901" "Present" -21.88278 -45.4889 "Small" "Mandarins" 12 2.9 179 6179
"902" "Present" -21.84764 -45.4867 "Small" "Mandarins" 24 1.55 210 13530
"903" "Present" -21.81783 -45.4861 "Mini" "Mandarins" 2.42 6.59 90 1365
"904" "Present" -21.81906 -45.484 "Small" "Mandarins" 16.5 2.58 247 9577
"905" "Present" -21.84819 -45.4837 "Mini" "Mandarins" 7 0.72 28 3878
"906" "Present" -21.71486 -45.4837 "Mini" "Mandarins" 7 1 39 3889
"907" "Absent" -21.83481 -45.4827 "Mini" "Mandarins" 4.5 0 0 2250
"908" "Present" -21.76966 -45.4803 "Mini" "Mandarins" 8 5.58 261 4681
"909" "Present" -21.90617 -45.4784 "Mini" "Mandarins" 4 100 2302 2302
"910" "Present" -21.84572 -45.4784 "Mini" "Mandarins" 5 0.63 18 2868
"911" "Present" -21.86195 -45.4769 "Small" "Mandarins" 18 1.79 180 10056
"912" "Present" -21.90283 -45.4767 "Small" "Sweet orange" 18.5 1.91 180 9420
"913" "Present" -21.8985 -45.4763 "Small" "Mandarins" 17 3.53 255 7227
"914" "Present" -21.84378 -45.4763 "Mini" "Mandarins" 9.5 6.08 333 5473
"915" "Present" -21.89397 -45.4753 "Mini" "Mandarins" 2 0.48 5 1050
"916" "Present" -21.80663 -45.4751 "Mini" "Mandarins" 4.6 9.7 233 2403
"917" "Present" -21.8064 -45.475 "Mini" "Mandarins" 4.6 1.36 30 2200
"918" "Present" -21.86753 -45.4737 "Small" "Sweet orange" 21.6 1.5 106 7066
"919" "Present" -21.90487 -45.4733 "Mini" "Mandarins" 4 2.84 58 2043
"920" "Present" -21.87304 -45.4727 "Mini" "Mandarins" 10 9.31 544 5844
"921" "Present" -21.88919 -45.4723 "Mini" "Mandarins" 3.36 3.24 46 1420
"922" "Absent" -20.10583 -45.47222 "Mini" "Mandarins" 2 0 0 1050
"923" "Present" -21.83422 -45.4721 "Small" "Sweet orange" 13 0.78 70 9000
"924" "Present" -21.84265 -45.4714 "Mini" "Sweet orange" 9 1.51 78 5166
"925" "Present" -20.1505 -45.47111 "Mini" "Mandarins" 3 0.53 8 1500
"926" "Present" -21.90382 -45.4709 "Mini" "Mandarins" 2 4.72 48 1018
"927" "Present" -21.86328 -45.4695 "Mini" "Sweet orange" 10 0.44 20 4514
